Patch My PC Supported Products - Report Created on 02/28/2022 20:10:20 - See: https://patchmypc.com/supported-products-scup-catalog
"Product","Vendor"
"Notepad++ (x86)","Notepad++ Team"
"NVIDIA GeForce Experience","NVIDIA Corporation"
"OBS Studio (x64)","OBS Project"
"Obsidian (User-x64)","Obsidian"
"Umbrella Roaming Client","OpenDNS"
"OpenShot Video Editor (x64)","OpenShot Studios, LLC"
"OpenVPN (x64)","OpenVPN, Inc."
"Opera (x64)","Opera Software"
"Opera (x86)","Opera Software"
"Oracle Java 7 (x64)","Oracle Corporation"
"Oracle Java 7 (x86)","Oracle Corporation"
"Oracle Java 8 (x64)","Oracle Corporation"
"Oracle Java 8 (x86)","Oracle Corporation"
"Oracle Java SE Development Kit 11 (x64)","Oracle Corporation"
"Oracle Java SE Development Kit 17 (MSI-x64)","Oracle Corporation"
"Oracle Java SE Development Kit 8 (x64)","Oracle Corporation"
"Oracle Java SE Development Kit 8 (x86)","Oracle Corporation"
"Oracle Java SE Development Kit Latest (MSI-x64)","Oracle Corporation"
"Oracle MySQL Workbench Community Edition","Oracle Corporation"
"Oracle VM VirtualBox 6","Oracle Corporation"
"ownCloud Desktop Sync Client (x64)","ownCloud GmbH"
"GlobalProtect","Palo Alto Networks"
"PDF24 Creator","PDF24"
"Archi (x64)","Phillip Beauvoir"
"Archi (x86)","Phillip Beauvoir"
"Pidgin","Pidgin"
"CCleaner","Piriform"
"MapInfo Pro (x64)","Pitney Bowes"
"MapInfo Pro (x86)","Pitney Bowes"
"PKZip (x64)","PKWARE, Inc."
"PKZip (x86)","PKWARE, Inc."
"Plantronics Hub (EXE)","Plantronics, Inc."
"Plantronics Hub (x64)","Plantronics, Inc."
"Plantronics Hub (x86)","Plantronics, Inc."
"Plex Media Player (x64)","Plex"
"Poll Everywhere","Poll Everywhere"
"Poly Lens","Poly, Inc."
"Postman (User-x64)","Postman"
"ProjectLibre (x64)","ProjectLibre"
"Pulse Connect Secure (x64)","Pulse Secure, LLC"
"Pulse Connect Secure (x86)","Pulse Secure, LLC"
"Python 3.10 (x64)","Python Software Foundation"
"Python 3.10 (x86)","Python Software Foundation"
"Python 3.7 (x64)","Python Software Foundation"
"Python 3.7 (x86)","Python Software Foundation"
"Python 3.8 (x64)","Python Software Foundation"
"Python 3.8 (x86)","Python Software Foundation"
"Python 3.9 (x64)","Python Software Foundation"
"Python 3.9 (x86)","Python Software Foundation"
"R For Windows","R Core Team"
"RealPlayer","RealNetworks"
"RealVNC","RealVNC Ltd"
"VNC Enterprise","RealVNC Ltd"
"VNC Viewer","RealVNC Ltd"
"Right Click Tools","Recast Software, Inc."
"RingCentral (MSI)","RingCentral"
"RingCentral Meetings","RingCentral"
"RingCentral Phone","RingCentral"
"RISA-3D 18 (x64)","RISA Tech, Inc."
"RISA-3D 19 (x64)","RISA Tech, Inc."
"RISAConnection 11 (x64)","RISA Tech, Inc."
"RISAConnection 12 (x64)","RISA Tech, Inc."
"Terminals","Robert Chartier"
"RStudio","RStudio"
"Beyond Compare - EXE Install","Scooter Software, Inc."
"Beyond Compare (x64) - MSI Install","Scooter Software, Inc."
"Beyond Compare (x86) - MSI Install","Scooter Software, Inc."
"Screaming Frog SEO Spider (x64)","Screaming Frog Ltd"
"ShareX","ShareX Team"
"GoodSync 10","Siber Systems"
"GoodSync 11","Siber Systems"
"RoboForm","Siber Systems"
"Programmer’s Notepad","Simon Steele"
"PuTTY (x64)","Simon Tatham"
"PuTTY (x86)","Simon Tatham"
"Slack (x64)","Slack Technologies"
"Slack (x86)","Slack Technologies"
"ControlUp Agent for .NET Framework 3.5 (x64)","Smart-X"
"ControlUp Agent for .NET Framework 4.5 (x64)","Smart-X"
"WebDrive (x64)","South River Technologies"
"WebDrive (x86)","South River Technologies"
"Splunk Universal Forwarder 7 (x64)","Splunk, Inc."
"Splunk Universal Forwarder 7 (x86)","Splunk, Inc."
"Splunk Universal Forwarder 8 (x64)","Splunk, Inc."
"Splunk Universal Forwarder 8 (x86)","Splunk, Inc."
"AirSquirrels Reflector (x64)","Squirrels LLC"
"AirSquirrels Reflector (x86)","Squirrels LLC"
"AirSquirrels Reflector 3 (x64)","Squirrels LLC"
"AirSquirrels Reflector 3 (x86)","Squirrels LLC"
"AirSquirrels Reflector 4 (x64)","Squirrels LLC"
"AirSquirrels Reflector 4 (x86)","Squirrels LLC"
"Airsquirrels Reflector Teacher (x64)","Squirrels LLC"
"Airsquirrels Reflector Teacher (x86)","Squirrels LLC"
"SRWare Iron (x64)","SRWare"
"SRWare Iron (x86)","SRWare"
"grepWin (x64)","Stefans Tools"
"grepWin (x86)","Stefans Tools"
"TortoiseHg (x64)","Steve Borho and others"
"TortoiseHg (x86)","Steve Borho and others"
"eduVPN Client","SURF"
"SURFdrive (x64)","SURF"
"Synergy (MSI-x64)","Symless Ltd"
"Tableau Desktop 20 (x64)","Tableau Software"
"Tableau Desktop 2021.1 (x64)","Tableau Software"
"Tableau Desktop 2021.2 (x64)","Tableau Software"
"Tableau Desktop 2021.3 (x64)","Tableau Software"
"Tableau Desktop 2021.4 (x64)","Tableau Software"
